book_id,title,price,star_rating,availability,category,source_url,price_gbp,rating,in_stock,price_inr
47,The House by the Lake,£36.95,One,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,36.95,1,True,3898.23
48,Mrs. Houdini,£30.25,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,30.25,5,True,3191.38
49,The Marriage of Opposites,£28.08,Four,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,28.08,4,True,2962.44
50,Glory over Everything: Beyond The Kitchen House,£45.84,Three,In stock,Historical Fiction,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,45.84,3,True,4836.12
51,"Love, Lies and Spies",£20.55,Two,In stock,Historical Fiction,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,20.55,2,True,2168.02
52,A Paris Apartment,£39.01,Four,In stock,Historical Fiction,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,39.01,4,True,4115.55
53,Lilac Girls,£17.28,Two,In stock,Historical Fiction,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,17.28,2,True,1823.04
54,The Constant Princess (The Tudor Court #1),£16.62,Three,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,16.62,3,True,1753.41
55,The Invention of Wings,£37.34,One,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,37.34,1,True,3939.37
56,World Without End (The Pillars of the Earth #2),£32.97,Four,In stock,Historical Fiction,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,32.97,4,True,3478.34
57,The Passion of Dolssa,£28.32,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,28.32,5,True,2987.76
58,Girl With a Pearl Earring,£26.77,One,In stock,Historical Fiction,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,26.77,1,True,2824.24
59,Voyager (Outlander #3),£21.07,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,21.07,5,True,2222.89
60,The Red Tent,£35.66,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-red-tent_273/index.html,35.66,5,True,3762.13
61,The Last Painting of Sara de Vos,£55.55,Two,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,55.55,2,True,5860.52
62,The Guernsey Literary and Potato Peel Pie Society,£49.53,One,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,49.53,1,True,5225.42
63,Girl in the Blue Coat,£46.83,Two,In stock,Historical Fiction,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,46.83,2,True,4940.56
64,Between Shades of Gray,£20.79,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html,20.79,5,True,2193.34
65,While You Were Mine,£41.32,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html,41.32,5,True,4359.26
66,The Secret Healer,£34.56,Three,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html,34.56,3,True,3646.08
67,Starlark,£25.83,Three,In stock,Historical Fiction,https://books.toscrape.com/catalogue/starlark_56/index.html,25.83,3,True,2725.06
68,Lost Among the Living,£27.70,Four,In stock,Historical Fiction,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html,27.7,4,True,2922.35
69,A Spy's Devotion (The Regency Spies of London #1),£16.97,Five,In stock,Historical Fiction,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,16.97,5,True,1790.33
